Quantity,Value,Footprint,Reference
2,4.7uF/X5R/20%/10V/C0402,C_0402_5MIL_DWS,"C1, C2"
5,22uF/6.3V/20%/X5R/C0603,C_0603_5MIL_DWS,"C3, C4, C5, C10, C29"
12,100nF/10V/20%/X5R/C0402,C_0402_5MIL_DWS,"C6, C7, C8, C9, C11, C12, C13, C14, C15, C16, C17, C23"
2,33pF/50V/5%/C0G/C0402,C_0402_5MIL_DWS,"C18, C19"
3,47nF/50V/10%/X7R/C0402,C_0402_5MIL_DWS,"C20, C21, C22"
1,CH213K(SOT23-3),SOT23-3,D1
1,HDMI-SWM-19,HDMI-SWM-19_Paste,HDMI_OUT1
2, IND/600OHM/2A/UPZ2012E-601-2R0TF/L0805,L_0805_5MIL_DWS,"L3, L4"
3,LED/RED/0603,LED_0603_KA,"LED_HDMI1, LED_PWR1, LED_VGA1"
1,Q24.576MHz/20pF/20ppm/2P/5x3.2mm,HCX-4S_2Pins_5.0x3.2mm_TEST,Q1
8,10k/R0402,R_0402_5MIL_DWS,"R1, R3, R5, R6, R21, R22, R23, R24"
2,5.1k/1%/R0402,R_0402_5MIL_DWS,"R2, R4"
1,1k/1%/R0402,R_0402_5MIL_DWS,R7
3,2.2k/R0402,R_0402_5MIL_DWS,"R8, R9, R10"
7,75R/1%/R0402,R_0402_5MIL_DWS,"R12, R13, R14, R15, R18, R19, R20"
1,100R/1%/R0402,R_0402_5MIL_DWS,R26
1,220R/1%/R0402,R_0402_5MIL_DWS,R29
1,CV8986(QFN56_7x7mm),QFN56_7x7_Pitch_0.4mm_EPad_5.4x5.4mm,U1
1,USB-C-16P-F(A40-00119-A52-12),USB2.0_TYPE-C(A40-00119-A52-12)_Paste,USB-PWR1
1,HDR15-3.08-14.5T/VGA15/14.5mm,VGA15-F(HDR15-3.08-14.5T)_DrillSlot,VGA_IN1
1,LD1117AG-33-AA3-A-R,SOT223,VR1
1,LD1117AG-AD-AA3-A-R,SOT223,VR2
